season_id|player_id|player_name|game_id|game_date|matchup|wl|fgm|fga|fg_pct
22018|203932|Aaron Gordon|0021800864|FEB 14, 2019|ORL vs. CHA|W|4|17|0.235
22018|203932|Aaron Gordon|0021800851|FEB 12, 2019|ORL @ NOP|W|6|10|0.6
22018|203932|Aaron Gordon|0021800837|FEB 10, 2019|ORL @ ATL|W|4|9|0.444
22018|203932|Aaron Gordon|0021800833|FEB 09, 2019|ORL @ MIL|W|6|15|0.4
22018|203932|Aaron Gordon|0021800812|FEB 07, 2019|ORL vs. MIN|W|5|13|0.385
22018|203932|Aaron Gordon|0021800802|FEB 05, 2019|ORL @ OKC|L|6|11|0.545
22018|203932|Aaron Gordon|0021800777|FEB 02, 2019|ORL vs. BKN|W|6|17|0.353
22018|203932|Aaron Gordon|0021800765|JAN 31, 2019|ORL vs. IND|W|4|9|0.444
22018|203932|Aaron Gordon|0021800751|JAN 29, 2019|ORL vs. OKC|L|6|19|0.316
22018|203932|Aaron Gordon|0021800737|JAN 27, 2019|ORL @ HOU|L|9|18|0.5
22018|203932|Aaron Gordon|0021800720|JAN 25, 2019|ORL vs. WAS|L|8|16|0.5
22018|203932|Aaron Gordon|0021800708|JAN 23, 2019|ORL @ BKN|L|5|9|0.556
22018|203932|Aaron Gordon|0021800673|JAN 18, 2019|ORL vs. BKN|L|9|13|0.692
22018|203932|Aaron Gordon|0021800657|JAN 16, 2019|ORL @ DET|L|5|11|0.455
22018|203932|Aaron Gordon|0021800641|JAN 13, 2019|ORL vs. HOU|W|8|15|0.533
22018|203932|Aaron Gordon|0021800632|JAN 12, 2019|ORL vs. BOS|W|7|14|0.5
22018|203932|Aaron Gordon|0021800614|JAN 09, 2019|ORL @ UTA|L|7|17|0.412
22018|203932|Aaron Gordon|0021800598|JAN 07, 2019|ORL @ SAC|L|3|13|0.231
22018|203932|Aaron Gordon|0021800586|JAN 06, 2019|ORL @ LAC|L|5|17|0.294
22018|203932|Aaron Gordon|0021800571|JAN 04, 2019|ORL @ MIN|L|4|8|0.5
22018|203932|Aaron Gordon|0021800559|JAN 02, 2019|ORL @ CHI|W|8|14|0.571
22018|203932|Aaron Gordon|0021800543|DEC 31, 2018|ORL @ CHA|L|6|17|0.353
22018|203932|Aaron Gordon|0021800536|DEC 30, 2018|ORL vs. DET|W|8|15|0.533
22018|203932|Aaron Gordon|0021800519|DEC 28, 2018|ORL vs. TOR|W|3|6|0.5
22018|203932|Aaron Gordon|0021800503|DEC 26, 2018|ORL vs. PHX|L|5|10|0.5
22018|203932|Aaron Gordon|0021800491|DEC 23, 2018|ORL vs. MIA|L|4|7|0.571
22018|203932|Aaron Gordon|0021800474|DEC 21, 2018|ORL @ CHI|L|4|17|0.235
22018|203932|Aaron Gordon|0021800456|DEC 19, 2018|ORL vs. SAS|L|4|10|0.4
22018|203932|Aaron Gordon|0021800429|DEC 15, 2018|ORL vs. UTA|W|3|7|0.429
22018|203932|Aaron Gordon|0021800418|DEC 13, 2018|ORL vs. CHI|W|2|11|0.182
22018|203932|Aaron Gordon|0021800397|DEC 10, 2018|ORL @ DAL|L|4|15|0.267
22018|203932|Aaron Gordon|0021800370|DEC 07, 2018|ORL vs. IND|L|8|18|0.444
22018|203932|Aaron Gordon|0021800356|DEC 05, 2018|ORL vs. DEN|L|8|19|0.421
22018|203932|Aaron Gordon|0021800351|DEC 04, 2018|ORL @ MIA|W|7|16|0.438
22018|203932|Aaron Gordon|0021800327|NOV 30, 2018|ORL @ PHX|W|8|12|0.667
22018|203932|Aaron Gordon|0021800300|NOV 26, 2018|ORL @ GSW|L|0|6|0.0
22018|203932|Aaron Gordon|0021800286|NOV 25, 2018|ORL @ LAL|W|8|14|0.571
22018|203932|Aaron Gordon|0021800276|NOV 23, 2018|ORL @ DEN|L|5|11|0.455
22018|203932|Aaron Gordon|0021800248|NOV 20, 2018|ORL vs. TOR|L|5|15|0.333
22018|203932|Aaron Gordon|0021800236|NOV 18, 2018|ORL vs. NYK|W|13|17|0.765
22018|203932|Aaron Gordon|0021800227|NOV 17, 2018|ORL vs. LAL|W|5|13|0.385
22018|203932|Aaron Gordon|0021800202|NOV 14, 2018|ORL vs. PHI|W|7|13|0.538
22018|203932|Aaron Gordon|0021800190|NOV 12, 2018|ORL @ WAS|L|8|13|0.615
22018|203932|Aaron Gordon|0021800167|NOV 09, 2018|ORL vs. WAS|W|6|14|0.429
22018|203932|Aaron Gordon|0021800154|NOV 07, 2018|ORL vs. DET|L|7|15|0.467
22018|203932|Aaron Gordon|0021800142|NOV 05, 2018|ORL vs. CLE|W|9|15|0.6
22018|203932|Aaron Gordon|0021800137|NOV 04, 2018|ORL @ SAS|W|11|20|0.55
22018|203932|Aaron Gordon|0021800117|NOV 02, 2018|ORL vs. LAC|L|2|5|0.4
22018|203932|Aaron Gordon|0021800098|OCT 30, 2018|ORL vs. SAC|L|7|15|0.467
22018|203932|Aaron Gordon|0021800081|OCT 27, 2018|ORL @ MIL|L|3|15|0.2
22018|203932|Aaron Gordon|0021800064|OCT 25, 2018|ORL vs. POR|L|6|11|0.545
22018|203932|Aaron Gordon|0021800040|OCT 22, 2018|ORL @ BOS|W|5|11|0.455
22018|203932|Aaron Gordon|0021800029|OCT 20, 2018|ORL @ PHI|L|7|12|0.583
22018|203932|Aaron Gordon|0021800017|OCT 19, 2018|ORL vs. CHA|L|2|9|0.222
22018|203932|Aaron Gordon|0021800006|OCT 17, 2018|ORL vs. MIA|W|9|18|0.5
22018|201143|Al Horford|0021800855|FEB 13, 2019|BOS vs. DET|W|6|12|0.5
22018|201143|Al Horford|0021800849|FEB 12, 2019|BOS @ PHI|W|9|16|0.563
22018|201143|Al Horford|0021800829|FEB 09, 2019|BOS vs. LAC|L|3|11|0.273
22018|201143|Al Horford|0021800814|FEB 07, 2019|BOS vs. LAL|L|5|9|0.556
22018|201143|Al Horford|0021800797|FEB 05, 2019|BOS @ CLE|W|4|9|0.444
22018|201143|Al Horford|0021800788|FEB 03, 2019|BOS vs. OKC|W|8|13|0.615
22018|201143|Al Horford|0021800771|FEB 01, 2019|BOS @ NYK|W|7|12|0.583
22018|201143|Al Horford|0021800756|JAN 30, 2019|BOS vs. CHA|W|7|9|0.778
22018|201143|Al Horford|0021800746|JAN 28, 2019|BOS vs. BKN|W|6|11|0.545
22018|201143|Al Horford|0021800732|JAN 26, 2019|BOS vs. GSW|L|10|15|0.667
22018|201143|Al Horford|0021800698|JAN 21, 2019|BOS vs. MIA|W|8|11|0.727
22018|201143|Al Horford|0021800683|JAN 19, 2019|BOS @ ATL|W|4|11|0.364
22018|201143|Al Horford|0021800671|JAN 18, 2019|BOS vs. MEM|W|8|10|0.8
22018|201143|Al Horford|0021800658|JAN 16, 2019|BOS vs. TOR|W|9|12|0.75
22018|201143|Al Horford|0021800645|JAN 14, 2019|BOS @ BKN|L|3|5|0.6
22018|201143|Al Horford|0021800632|JAN 12, 2019|BOS @ ORL|L|5|10|0.5
22018|201143|Al Horford|0021800617|JAN 10, 2019|BOS @ MIA|L|1|8|0.125
22018|201143|Al Horford|0021800607|JAN 09, 2019|BOS vs. IND|W|3|6|0.5
22018|201143|Al Horford|0021800592|JAN 07, 2019|BOS vs. BKN|W|6|7|0.857
22018|201143|Al Horford|0021800566|JAN 04, 2019|BOS vs. DAL|W|4|10|0.4
22018|201143|Al Horford|0021800558|JAN 02, 2019|BOS vs. MIN|W|7|9|0.778
22018|201143|Al Horford|0021800545|DEC 31, 2018|BOS @ SAS|L|4|7|0.571
22018|201143|Al Horford|0021800531|DEC 29, 2018|BOS @ MEM|W|6|12|0.5
22018|201143|Al Horford|0021800512|DEC 27, 2018|BOS @ HOU|L|7|12|0.583
22018|201143|Al Horford|0021800499|DEC 25, 2018|BOS vs. PHI|W|2|10|0.2
22018|201143|Al Horford|0021800488|DEC 23, 2018|BOS vs. CHA|W|4|4|1.0
22018|201143|Al Horford|0021800365|DEC 06, 2018|BOS vs. NYK|W|8|12|0.667
22018|201143|Al Horford|0021800335|DEC 01, 2018|BOS @ MIN|W|7|11|0.636
22018|201143|Al Horford|0021800298|NOV 26, 2018|BOS @ NOP|W|8|15|0.533
22018|201143|Al Horford|0021800283|NOV 24, 2018|BOS @ DAL|L|3|11|0.273
22018|201143|Al Horford|0021800255|NOV 21, 2018|BOS vs. NYK|L|7|11|0.636
22018|201143|Al Horford|0021800239|NOV 19, 2018|BOS @ CHA|L|4|6|0.667
22018|201143|Al Horford|0021800229|NOV 17, 2018|BOS vs. UTA|L|4|7|0.571
22018|201143|Al Horford|0021800216|NOV 16, 2018|BOS vs. TOR|W|5|9|0.556
22018|201143|Al Horford|0021800204|NOV 14, 2018|BOS vs. CHI|W|4|6|0.667
22018|201143|Al Horford|0021800188|NOV 11, 2018|BOS @ POR|L|4|14|0.286
22018|201143|Al Horford|0021800172|NOV 09, 2018|BOS @ UTA|L|6|10|0.6
22018|201143|Al Horford|0021800164|NOV 08, 2018|BOS @ PHX|W|3|7|0.429
22018|201143|Al Horford|0021800145|NOV 05, 2018|BOS @ DEN|L|6|9|0.667
22018|201143|Al Horford|0021800127|NOV 03, 2018|BOS @ IND|L|6|13|0.462
22018|201143|Al Horford|0021800115|NOV 01, 2018|BOS vs. MIL|W|6|15|0.4
22018|201143|Al Horford|0021800099|OCT 30, 2018|BOS vs. DET|W|5|9|0.556
22018|201143|Al Horford|0021800074|OCT 27, 2018|BOS @ DET|W|2|8|0.25
22018|201143|Al Horford|0021800065|OCT 25, 2018|BOS @ OKC|W|7|16|0.438
22018|201143|Al Horford|0021800040|OCT 22, 2018|BOS vs. ORL|L|5|13|0.385
22018|201143|Al Horford|0021800028|OCT 20, 2018|BOS @ NYK|W|3|7|0.429
22018|201143|Al Horford|0021800019|OCT 19, 2018|BOS @ TOR|L|5|12|0.417
22018|201143|Al Horford|0021800001|OCT 16, 2018|BOS vs. PHI|W|4|7|0.571
22018|202329|Al-Farouq Aminu|0021800862|FEB 13, 2019|POR vs. GSW|W|3|7|0.429
22018|202329|Al-Farouq Aminu|0021800846|FEB 11, 2019|POR @ OKC|L|5|9|0.556
22018|202329|Al-Farouq Aminu|0021800834|FEB 10, 2019|POR @ DAL|L|1|3|0.333
22018|202329|Al-Farouq Aminu|0021800816|FEB 07, 2019|POR vs. SAS|W|3|5|0.6
22018|202329|Al-Farouq Aminu|0021800803|FEB 05, 2019|POR vs. MIA|L|2|4|0.5
22018|202329|Al-Farouq Aminu|0021800763|JAN 30, 2019|POR vs. UTA|W|0|3|0.0
22018|202329|Al-Farouq Aminu|0021800734|JAN 26, 2019|POR vs. ATL|W|4|5|0.8
22018|202329|Al-Farouq Aminu|0021800718|JAN 24, 2019|POR @ PHX|W|3|5|0.6
22018|202329|Al-Farouq Aminu|0021800703|JAN 22, 2019|POR @ OKC|L|1|7|0.143
22018|202329|Al-Farouq Aminu|0021800700|JAN 21, 2019|POR @ UTA|W|4|6|0.667
22018|202329|Al-Farouq Aminu|0021800677|JAN 18, 2019|POR vs. NOP|W|4|12|0.333
22018|202329|Al-Farouq Aminu|0021800662|JAN 16, 2019|POR vs. CLE|W|6|7|0.857
22018|202329|Al-Farouq Aminu|0021800649|JAN 14, 2019|POR @ SAC|L|3|8|0.375
22018|202329|Al-Farouq Aminu|0021800643|JAN 13, 2019|POR @ DEN|L|2|7|0.286
22018|202329|Al-Farouq Aminu|0021800628|JAN 11, 2019|POR vs. CHA|W|4|8|0.5
